Locus#	Freq. missing data
1	0.0377358
2	0.00628931
3	0.0691824
4	0.0691824
5	0.0377358
6	0.0314465
7	0.0314465
8	0.00628931
9	0.113208
10	0.132075
11	0.00628931
12	0.0251572
13	0.0251572
14	0.100629
15	0.144654
16	0
17	0.0125786
18	0.0125786
19	0.0125786
20	0.0125786
21	0.125786
22	0.0440252
23	0.0880503
24	0.194969
25	0.163522
26	0.0125786
27	0.0566038
28	0.0188679
29	0.132075
30	0.0377358
31	0.081761
32	0.0125786
33	0.00628931
34	0.00628931
35	0.0188679
36	0.0251572
37	0.138365
38	0.113208
39	0.0377358
40	0.125786
41	0.0125786
42	0.00628931
43	0.0314465
44	0.0377358
45	0.176101
46	0.150943
47	0.0251572
48	0.0188679
49	0
50	0.0503145
51	0.169811
52	0.138365
53	0.0566038
54	0.125786
55	0.0314465
56	0.0188679
57	0.0251572
58	0.0628931
59	0.0628931
60	0.100629
61	0.132075
62	0.0503145
63	0.0566038
64	0.0754717
65	0.194969
66	0.0188679
67	0.132075
68	0.0188679
69	0.176101
70	0.0314465
71	0.00628931
72	0.00628931
73	0.0314465
74	0.00628931
75	0.0125786
76	0.0125786
77	0.0377358
78	0.0880503
79	0.150943
80	0.18239
81	0.00628931
82	0.125786
83	0.125786
84	0.0125786
85	0.0125786
86	0.0440252
87	0.144654
88	0.0691824
89	0.0188679
90	0
91	0.0188679
92	0.0251572
93	0.0503145
94	0.0188679
95	0.0377358
96	0.0251572
97	0.0251572
98	0.0188679
99	0.00628931
100	0.0251572
101	0.0251572
102	0.00628931
103	0.0188679
104	0.169811
105	0.0314465
106	0.0440252
107	0.0503145
108	0.0314465
109	0.106918
110	0.0754717
111	0.0314465
112	0.0754717
113	0
114	0.0880503
115	0.169811
116	0.100629
117	0.106918
118	0.0251572
119	0.0125786
120	0.0440252
121	0.0314465
122	0.0628931
123	0.00628931
124	0
125	0.0566038
126	0.106918
127	0.0188679
128	0.00628931
129	0.0314465
130	0.0314465
131	0.144654
132	0.00628931
133	0.0377358
134	0.0251572
135	0.0691824
136	0.00628931
137	0
138	0.0125786
139	0.0314465
140	0.0251572
141	0.132075
142	0
143	0.169811
144	0.106918
145	0.106918
146	0.00628931
147	0.144654
148	0.0377358
149	0.0880503
150	0.00628931
151	0.0125786
152	0.176101
153	0.0440252
154	0.0566038
155	0.100629
156	0.00628931
157	0.00628931
158	0.00628931
159	0.106918
160	0.0377358
161	0.00628931
162	0.150943
163	0.0503145
164	0.0628931
165	0.0125786
166	0.163522
167	0.0628931
168	0
